method,n,component,mu_true,nsim,mean_mu_hat,bias,bias_mcse,coverage,coverage_mcse,mean_elapsed_time,median_elapsed_time
Gibbs,100,1,0,500,0.01974464309619105,0.01974464309619105,0.011035196446119529,0.946,0.010107818755794947,22.539544,23.896
Gibbs,100,2,5,500,5.05609511484147,0.05609511484146946,0.02064329802626942,0.936,0.01094568408095172,22.539544,23.896
Gibbs,100,3,10,500,10.127537290561554,0.1275372905615535,0.05169263931871516,0.94,0.010620734437881408,22.539544,23.896
Gibbs,100,4,20,500,19.992731264605247,-0.007268735394751267,0.009437620397550254,0.948,0.009929350431926557,22.539544,23.896
Gibbs,1000,1,0,500,0.046629091681610765,0.046629091681610765,0.011479144311373403,0.914,0.01253826144248077,179.293876,155.64350000000002
Gibbs,1000,2,5,500,5.1272260603231965,0.12722606032319617,0.02966506975335375,0.924,0.01185107590052481,179.293876,155.64350000000002
Gibbs,1000,3,10,500,10.332605069533885,0.33260506953388447,0.079591524507083,0.918,0.012269963325128561,179.293876,155.64350000000002
Gibbs,1000,4,20,500,20.01016621453388,0.010166214533879895,0.003512345764896414,0.928,0.0115599307956406,179.293876,155.64350000000002
Gibbs,10000,1,0,500,0.02560467923914528,0.02560467923914528,0.008589505159050421,0.92,0.012132600710482479,2259.30775,2422.7055
Gibbs,10000,2,5,500,5.064116978572647,0.06411697857264757,0.021473725153771227,0.916,0.012405160216619531,2259.30775,2422.7055
Gibbs,10000,3,10,500,10.179742946335201,0.17974294633520113,0.05890707257249618,0.93,0.011410521460476728,2259.30775,2422.7055
Gibbs,10000,4,20,500,20.0043599910073,0.004359991007297608,0.0011949271956663635,0.914,0.01253826144248077,2259.30775,2422.7055
VB,100,1,0,500,0.011414083608843438,0.011414083608843438,0.010440094839141868,0.942,0.010453324829928518,0.06286,0.06499999999999773
VB,100,2,5,500,5.019958810280559,0.019958810280559083,0.013999473267158714,0.928,0.0115599307956406,0.06286,0.06499999999999773
VB,100,3,10,500,9.99430539477033,-0.005694605229669879,0.009439552621130757,0.948,0.009929350431926557,0.06286,0.06499999999999773
VB,100,4,20,500,19.988448440348215,-0.01155155965178411,0.009336230679092505,0.942,0.010453324829928518,0.06286,0.06499999999999773
VB,1000,1,0,500,0.0012794665029040974,0.0012794665029040974,0.002958413760610143,0.93,0.011410521460476728,0.21026999999999946,0.21049999999999613
VB,1000,2,5,500,5.003820286719526,0.0038202867195257753,0.002918722122422003,0.942,0.010453324829928518,0.21026999999999946,0.21049999999999613
VB,1000,3,10,500,9.999419790770947,-5.8020922905256e-4,0.0029299455338239393,0.946,0.010107818755794947,0.21026999999999946,0.21049999999999613
VB,1000,4,20,500,20.003224520256527,0.0032245202565265884,0.003010687646065461,0.94,0.010620734437881408,0.21026999999999946,0.21049999999999613
VB,10000,1,0,500,3.72481491425879e-4,3.72481491425879e-4,9.45601741720806e-4,0.922,0.01199299795714149,1.760767999999986,1.8989999999998872
VB,10000,2,5,500,4.99949873724377,-5.01262756229643e-4,0.0010124910107445885,0.922,0.01199299795714149,1.760767999999986,1.8989999999998872
VB,10000,3,10,500,10.001554790650127,0.0015547906501267405,9.378189539073604e-4,0.942,0.010453324829928518,1.760767999999986,1.8989999999998872
VB,10000,4,20,500,20.002395445261683,0.0023954452616833494,9.730866352442673e-4,0.914,0.01253826144248077,1.760767999999986,1.8989999999998872
