method,n,sim_id,component,mu_true,mu_hat,ci_lower,ci_upper,covered,elapsed_time
Gibbs,100,1,1,0,0.07150587125868509,-0.35865323247264314,0.4983409238801453,1,14.89
Gibbs,100,1,2,5,4.719852346862158,4.276946670888635,5.168905389368081,1,14.89
Gibbs,100,1,3,10,9.59732697567097,9.181306439795623,10.022501330177244,1,14.89
Gibbs,100,1,4,20,19.895606750206436,19.52828137027214,20.258634311692784,1,14.89
VB,100,1,1,0,0.06884129494422914,-0.3273793436200308,0.46506193350848907,1,0.04800000000000182
VB,100,1,2,5,4.720005449761998,4.323801259164569,5.116209640359426,1,0.04800000000000182
VB,100,1,3,10,9.600035168473678,9.19212227020776,10.007948066739594,1,0.04800000000000182
VB,100,1,4,20,19.89470340185215,19.52436434437407,20.265042459330232,1,0.04800000000000182
Gibbs,100,10,1,0,0.07458459519880409,-0.3590488324543822,0.5222118807613971,1,16.254
Gibbs,100,10,2,5,5.244444757403197,4.872739521545214,5.623326483484055,1,16.254
Gibbs,100,10,3,10,10.176414548274549,9.76483036558007,10.581786976657796,1,16.254
Gibbs,100,10,4,20,20.05405111090759,19.67547400022266,20.423675341960298,1,16.254
VB,100,10,1,0,0.07171875361874475,-0.3662720482477842,0.5097095554852737,1,0.04299999999999926
VB,100,10,2,5,5.242315242489724,4.871644998741613,5.612985486237835,1,0.04299999999999926
VB,100,10,3,10,10.17700175815644,9.777289543627694,10.576713972685187,1,0.04299999999999926
VB,100,10,4,20,20.052599892041012,19.682260834563035,20.42293894951899,1,0.04299999999999926
Gibbs,100,100,1,0,0.01544741507845543,-0.40965619496455863,0.4411034956308533,1,16.093
Gibbs,100,100,2,5,5.095202356115441,4.6836974924917865,5.507266188122628,1,16.093
Gibbs,100,100,3,10,9.84542881461124,9.480238760755965,10.21772920964214,1,16.093
Gibbs,100,100,4,20,19.926743445234244,19.512735394576953,20.32528791371887,1,16.093
VB,100,100,1,0,0.01501429280621748,-0.40369040172505766,0.4337189873374926,1,0.04200000000000159
VB,100,100,2,5,5.097898500356151,4.707863876047926,5.487933124664376,1,0.04200000000000159
VB,100,100,3,10,9.84258477214904,9.483929606358735,10.201239937939343,1,0.04200000000000159
VB,100,100,4,20,19.92592598038651,19.517326545145927,20.33452541562709,1,0.04200000000000159
Gibbs,100,101,1,0,-0.07384031771403989,-0.4526520481748826,0.29913000145805474,1,16.128
Gibbs,100,101,2,5,5.129007154031847,4.681265725373147,5.585924272017373,1,16.128
Gibbs,100,101,3,10,10.144032044672388,9.761741431968488,10.528203713393172,1,16.128
Gibbs,100,101,4,20,20.39282808544441,19.99708248311499,20.789389320726425,1,16.128
VB,100,101,1,0,-0.07289621356938644,-0.4434401233694244,0.29764769623065146,1,0.03999999999999915
VB,100,101,2,5,5.125416838348567,4.688433369254151,5.562400307442983,1,0.03999999999999915
VB,100,101,3,10,10.140840261330734,9.763169803271465,10.518510719390004,1,0.03999999999999915
VB,100,101,4,20,20.396858144407485,20.004936520895324,20.78877976791965,0,0.03999999999999915
Gibbs,100,102,1,0,0.07579518768990827,-0.2762866287298657,0.4246086440131315,1,16.107
